Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Semi-Furnished,"15,000",3,2,1450,Bachupally
Semi-Furnished,"20,000",2,1,1200,Amberpet
Semi-Furnished,"30,000",3,2,1655,Serilingampally
Unfurnished,"13,000",2,1,1413,"Malakpet,"
Furnished,"28,500",2,2,1010,Kukatpally
Semi-Furnished,"28,000",3,2,1500,Hafeezpet
Unfurnished,"27,000",3,1,1685,Narsinghi
Semi-Furnished,"30,000",3,3,1024,Hafeezpet
Furnished,"45,000",3,2,1685,Gachibowli
Unfurnished,"30,000",3,2,1600,Manikonda
Unfurnished,"36,000",3,1,2050,Banjara Hills
Semi-Furnished,"30,000",2,2,1314,Narsingi
Semi-Furnished,"20,000",3,2,1410,junction
Unfurnished,"36,000",3,1,1850,Banjara Hills
Unfurnished,"14,000",2,2,1200,Musheerabad
Semi-Furnished,"25,000",3,1,1525,Colony
Semi-Furnished,"18,000",2,3,1150,khairtabad
Semi-Furnished,"15,000",2,2,1650,Hyderabad
Semi-Furnished,"13,000",2,1,1200,Chilakalguda
Furnished,"50,000",3,2,1580,Habsiguda
Unfurnished,"8,500",2,1,950,Sagar
Semi-Furnished,"16,000",3,2,1678,Hyderabad
Unfurnished,"12,000",2,2,1175,Ali
Semi-Furnished,"25,000",3,2,1632,LB Nagar
Unfurnished,"15,000",2,1,1000,Hyderabad
Semi-Furnished,"23,000",4,1,1650,Chowki
Semi-Furnished,"37,000",3,1,1690,Gachibowli
Semi-Furnished,"26,000",3,1,1900,Bachupally
Furnished,"24,000",3,1,1648,LB Nagar
Semi-Furnished,"17,000",3,2,1570,"Saroornagar,"
Semi-Furnished,"30,000",3,1,1490,Hafeezpet
Unfurnished,"50,000",4,3,2675,Gachibowli
Furnished,"26,000",3,3,1660,"Pocharam,"
Furnished,"35,000",3,2,1490,Hafeezpet
Unfurnished,"8,500",2,1,650,Kukatpally
Furnished,"40,000",3,2,1550,Narayanguda
Furnished,"15,000",2,1,1200,Bahadurpura
Semi-Furnished,"23,000",3,2,1410,Ring
Semi-Furnished,"21,000",2,1,1200,Kothaguda
Semi-Furnished,"28,000",3,2,1530,Nizampet
Unfurnished,"25,000",2,2,1500,Colony
Semi-Furnished,"30,000",3,1,1725,Nalagandala
Furnished,"40,000",3,1,1800,Attapur
Semi-Furnished,"28,000",3,3,1520,Marredpally
Furnished,"11,500",2,1,1600,Almasguda
Semi-Furnished,"15,000",3,1,1350,Bandlaguda
Furnished,"50,000",3,2,2200,Ring
Furnished,"25,000",2,1,1200,Chowki
Furnished,"30,500",2,2,1500,Ring
Unfurnished,"25,000",3,2,1643,Kompally
Furnished,"40,000",3,2,1505,Kondapur
Unfurnished,"8,000",2,1,1050,Bachupally
Semi-Furnished,"22,000",3,3,1600,Nagar
Furnished,"28,000",2,2,1050,Kondapur
Semi-Furnished,"27,000",3,2,1920,"Nagar,"
Semi-Furnished,"15,000",3,2,1300,Gajularamara
Semi-Furnished,"16,000",3,2,1550,MADEENAGUDA
Unfurnished,"20,000",2,2,1275,Hafeezpet
Furnished,"30,000",2,2,1200,Gachibowli
Furnished,"28,000",2,2,1200,Manikonda
Semi-Furnished,"23,000",3,2,1525,Marredpally
Furnished,"26,000",2,1,1100,Chowki
Semi-Furnished,"15,000",3,1,1500,Nizampet
Semi-Furnished,"17,500",3,2,1800,Bachupally
Semi-Furnished,"24,000",3,2,1250,Kukatpally
Semi-Furnished,"30,000",2,2,1314,Narsingi
Semi-Furnished,"38,000",4,2,1850,Begumpet
Semi-Furnished,"30,000",2,2,1314,Narsingi
Unfurnished,"15,000",3,2,1475,Chandanagar
Unfurnished,"30,000",2,1,1090,"Lakdikapul,"
Unfurnished,"9,000",2,2,150,Uppal
Semi-Furnished,"25,000",3,2,1400,Boiguda
Semi-Furnished,"15,000",3,2,1365,Secunderabad
Semi-Furnished,"12,000",2,2,970,Ashgoli
Unfurnished,"12,000",2,1,1150,Adibatla
Semi-Furnished,"18,000",3,1,1350,Chowki
Furnished,"16,000",2,1,900,Hafeezpet
Semi-Furnished,"19,500",3,2,1550,Mallapur
Furnished,"9,500",3,2,1100,Bandlaguda
Unfurnished,"14,000",2,2,1000,Chandanagar
Semi-Furnished,"42,000",3,3,1870,Gachibowli
Semi-Furnished,"30,000",3,3,2535,Yapral
Unfurnished,"27,000",3,2,1500,Secunderabad
Semi-Furnished,"16,000",3,3,1654,Gajularamara
Semi-Furnished,"28,000",3,5,2300,junction
Semi-Furnished,"45,000",3,1,2630,Kondapur
Furnished,"45,000",3,2,1800,Hitech City
Semi-Furnished,"20,000",2,1,1275,"Komapally,"
Unfurnished,"11,000",2,2,1100,Secunderabad
Semi-Furnished,"40,000",3,2,1834,Narsingi
Semi-Furnished,"28,000",3,2,1533,"Ramanthapur,"
Semi-Furnished,"18,000",3,2,1250,Kukatpally
Unfurnished,"9,000",4,1,1500,Bandlaguda
Unfurnished,"8,000",2,2,900,Patelguda
Semi-Furnished,"11,000",2,2,950,Suchitra
Furnished,"32,000",3,3,1555,Hafeezpet
Furnished,"26,000",3,2,1600,Secunderabad
Semi-Furnished,"14,500",2,1,1101,Bachupally
Semi-Furnished,"45,000",3,3,2800,Gachibowli
Semi-Furnished,"16,500",3,3,1400,Ali
Furnished,"50,000",3,3,2200,junction)
Furnished,"36,000",2,1,1314,Narsingi
Unfurnished,"35,000",3,1,1490,Hafeezpet
Semi-Furnished,"32,000",3,3,2200,Miyapur
Furnished,"18,000",2,2,1130,Adibatla
Semi-Furnished,"40,000",3,2,1875,Shaikpet
Semi-Furnished,"13,000",3,2,1275,Ring
Unfurnished,"22,000",3,2,1510,Hafeezpet
Semi-Furnished,"30,000",3,3,1800,Yousufguda
Semi-Furnished,"12,000",3,1,1500,Bachupally
Semi-Furnished,"12,000",2,2,1200,Adibatla
Unfurnished,"10,000",2,1,1100,Secunderabad
Furnished,"36,000",3,1,1198,Gachibowli
Unfurnished,"12,000",2,2,1500,Boduppal
Furnished,"25,000",2,1,850,Mehdipatnam
Furnished,"28,000",2,1,850,Mehdipatnam
Unfurnished,"15,000",2,1,600, 
Unfurnished,"15,000",3,2,1600,Nagar
Semi-Furnished,"12,000",2,1,1300,Bachupally
Furnished,"30,000",3,3,2400,Marredpally
Semi-Furnished,"18,000",3,2,1660,Boduppal
Unfurnished,"14,000",2,2,1150,Nizampet
Unfurnished,"15,000",3,1,1620,Bandlaguda
Furnished,"28,000",2,1,850,Mehdipatnam
Semi-Furnished,"18,000",3,2,1400,Nagole
Furnished,"30,000",2,1,850,Hakimpet-Hyderabad
Unfurnished,"22,000",3,1,1375,Amberpet
Furnished,"19,000",2,2,1125,Gajularamara
Semi-Furnished,"30,000",3,1,1675,Ameerpet
Unfurnished,"18,000",3,2,1600,Gandhi
Unfurnished,"23,000",3,2,1550,KPHB
Semi-Furnished,"42,000",3,1,1834,Narsingi
Furnished,"24,000",3,3,2000,"Pocharam,"
Unfurnished,"14,000",3,2,1800,Boduppal
Unfurnished,"16,000",3,2,1600,Chandanagar
Semi-Furnished,"25,000",3,2,1400,"Colony,"
Semi-Furnished,"21,500",3,2,1400,Puppalaguda
Furnished,"40,000",3,2,1600,Narsingi
Furnished,"30,000",2,2,1162,Ali
Unfurnished,"23,000",2,3,1461,Miyapur
Semi-Furnished,"35,000",3,3,2358,Ring
Semi-Furnished,"12,000",2,2,1100,rd
Unfurnished,"15,000",2,1,1150,Ring
Furnished,"50,000",3,2,2260,Gachibowli
Semi-Furnished,"22,000",2,2,1205,Nizampet
Unfurnished,"16,000",2,2,600,Papulguda
Semi-Furnished,"18,000",2,2,1360,Nagar
Furnished,"23,000",2,2,1200,Hyderabad
Semi-Furnished,"17,000",3,1,1200,Bowenpally
Semi-Furnished,"45,000",3,4,1961,"Punjagutta,"
Unfurnished,"25,000",3,2,1400,Manikonda
Semi-Furnished,"22,000",3,2,1300,Kavadiguda
Unfurnished,"21,000",3,2,1450,Shaikpet
Semi-Furnished,"33,000",3,1,1711,Ring
Semi-Furnished,"25,000",3,2,1600,"Nagar,"
Semi-Furnished,"45,000",3,1,2540,Narsingi
Furnished,"17,500",3,2,1400,Bandlaguda
Unfurnished,"25,000",3,2,1670,Hyderabad
Semi-Furnished,"30,000",2,2,1314,Narsingi
Unfurnished,"42,000",3,2,2150,"Somajiguda,"
Unfurnished,"35,000",3,2,1500,Rd
Furnished,"26,000",2,1,900,Hakimpet-Hyderabad
Furnished,"30,000",3,2,2200,Miyapur
Semi-Furnished,"45,000",3,2,2540,Narsingi
Unfurnished,"28,000",3,2,1715,Habsiguda
Semi-Furnished,"31,000",2,1,1314,Narsingi
Semi-Furnished,"30,000",2,1,1314,Narsingi
Unfurnished,"15,000",2,1,1350,Bandlaguda
Furnished,"35,000",4,2,2000,KPHB
Semi-Furnished,"22,000",3,2,1600,Gopanapalli
Semi-Furnished,"25,000",3,2,1530,Kukatpally
Semi-Furnished,"13,000",2,2,1300,"Ramanthapur,"
Semi-Furnished,"15,000",2,2,1300,Amberpet
Unfurnished,"14,000",2,2,1000,Attapur
Semi-Furnished,"27,000",3,3,2100,Bowenpally
Semi-Furnished,"34,000",3,2,1834,Narsingi
Semi-Furnished,"20,000",3,2,1665,Puppalaguda
